DateTime,Time Offset,SEM ID,ECG heart rate,HR Confidence,Belt Breathing rate,Breathing rate confidence,Lead off,Belt off,Skin temperature (IR),Body position,Ambulation,PWI,Event Count
8/12/2013 07:19:31.453,3214,01312035 EQ-02,172,40,16.2,73,0,1,32.6,Upright,MovingSlowly,Blue,0,
8/12/2013 07:19:46.453,3229,01312035 EQ-02,137.5,28,15.4,65,0,1,32.4,Upright,Stationary,Blue,0,
8/12/2013 07:20:01.453,3244,01312035 EQ-02,132,25,16.9,65,0,1,32.2,Upright,Stationary,Blue,0,
8/12/2013 07:20:16.453,3259,01312035 EQ-02,146,53,15.4,79,0,1,32.9,Upright,Stationary,Blue,0,
8/12/2013 07:20:31.453,3274,01312035 EQ-02,99.1,36,16.7,83,0,1,32.6,Upright,Stationary,Blue,0,
8/12/2013 07:20:46.453,3289,01312035 EQ-02,74,34,14.5,90,0,1,32.7,Upright,Stationary,Blue,0,
8/12/2013 07:21:01.453,3304,01312035 EQ-02,99.8,49,15,90,0,1,32.8,Upright,MovingSlowly,Blue,0,
8/12/2013 07:21:16.453,3319,01312035 EQ-02,114,35,15.6,90,0,1,33.1,Upright,Stationary,Blue,0,
8/12/2013 07:21:31.453,3334,01312035 EQ-02,127.7,43,15.1,90,0,1,33.2,Upright,Stationary,Blue,0,
8/12/2013 07:21:46.453,3349,01312035 EQ-02,159.3,33,15,90,0,1,33,Upright,MovingSlowly,Blue,0,
8/12/2013 07:22:01.453,3364,01312035 EQ-02,176,38,14.8,90,0,1,33.2,Upright,MovingSlowly,Blue,0,
8/12/2013 07:22:16.453,3379,01312035 EQ-02,185.8,31,15.3,90,0,1,33.7,Upright,MovingSlowly,Blue,0,
8/12/2013 07:22:31.453,3394,01312035 EQ-02,164,32,17,90,0,1,33.6,Upright,Stationary,Blue,0,
8/12/2013 07:22:46.453,3409,01312035 EQ-02,148,30,19.7,90,0,1,33.7,Upright,MovingSlowly,Blue,0,
8/12/2013 07:23:01.453,3424,01312035 EQ-02,184,33,20.9,90,0,1,33.8,Upright,MovingSlowly,Blue,0,
8/12/2013 07:23:16.453,3439,01312035 EQ-02,204,36,21,83,0,1,33.6,Upright,MovingFast,Blue,0,
8/12/2013 07:23:31.453,3454,01312035 EQ-02,208,29,20.3,85,0,1,33.7,Upright,MovingSlowly,Blue,0,
8/12/2013 07:23:46.453,3469,01312035 EQ-02,221.8,37,20.3,77,0,1,33.8,Upright,MovingSlowly,Blue,0,
8/12/2013 07:24:01.453,3484,01312035 EQ-02,220,33,22.9,66,0,1,33.9,Upright,MovingSlowly,Blue,0,
8/12/2013 07:24:16.453,3499,01312035 EQ-02,212,35,24.3,74,0,1,33.9,Upright,Stationary,Blue,0,
8/12/2013 07:24:31.453,3514,01312035 EQ-02,200,35,24.4,74,0,1,33.9,Upright,MovingSlowly,Blue,0,
8/12/2013 07:24:46.453,3529,01312035 EQ-02,192,31,24.7,78,0,1,34,Upright,MovingSlowly,Blue,0,
8/12/2013 07:25:01.453,3544,01312035 EQ-02,194,31,25.2,86,0,1,33.7,Prone,MovingSlowly,Blue,0,
8/12/2013 07:25:16.453,3559,01312035 EQ-02,194,31,25.2,90,0,1,34,Prone,Stationary,Blue,0,
8/12/2013 07:25:31.453,3574,01312035 EQ-02,206,35,25,87,0,1,34.1,Upright,MovingSlowly,Blue,0,
8/12/2013 07:25:46.453,3589,01312035 EQ-02,212,36,23.7,86,0,1,33.9,Upright,MovingFast,Blue,0,
8/12/2013 07:26:01.453,4,01312035 EQ-02,198,31,21.6,86,0,1,33.9,Upright,MovingFast,Blue,0,
8/12/2013 07:26:16.453,19,01312035 EQ-02,194,30,22.4,77,0,1,33.8,Upright,MovingSlowly,Blue,0,
8/12/2013 07:26:31.453,34,01312035 EQ-02,184,36,23.5,81,0,1,33.8,Upright,Stationary,Blue,0,
8/12/2013 07:26:46.453,49,01312035 EQ-02,153.5,33,25.5,79,0,1,33.9,Upright,Stationary,Blue,0,
8/12/2013 07:27:01.453,64,01312035 EQ-02,152,37,25.3,79,0,1,34,Upright,Stationary,Blue,0,
8/12/2013 07:27:16.453,79,01312035 EQ-02,172,37,22.6,87,0,1,34,Upright,MovingSlowly,Blue,0,
8/12/2013 07:27:31.453,94,01312035 EQ-02,160,38,20.3,81,0,1,33.9,Upright,Stationary,Blue,0,
8/12/2013 07:27:46.453,109,01312035 EQ-02,148,38,20.8,81,0,1,33.7,Upright,Stationary,Blue,0,
8/12/2013 07:28:01.453,124,01312035 EQ-02,133.8,40,20.6,81,0,1,34,Upright,Stationary,Blue,0,
8/12/2013 07:28:16.453,139,01312035 EQ-02,116,29,20.3,83,0,1,34.1,Upright,Stationary,Blue,0,
8/12/2013 07:28:31.453,154,01312035 EQ-02,125.1,44,19.8,85,0,1,34.3,Upright,MovingSlowly,Blue,0,
8/12/2013 07:28:46.453,169,01312035 EQ-02,148,33,19.1,90,0,1,34.2,Upright,MovingSlowly,Blue,0,
8/12/2013 07:29:01.453,184,01312035 EQ-02,168.9,34,19.3,90,0,1,34.4,Upright,MovingSlowly,Blue,0,
8/12/2013 07:29:16.453,199,01312035 EQ-02,196,36,20.3,90,0,1,34.5,Upright,MovingFast,Blue,0,
8/12/2013 07:29:31.453,214,01312035 EQ-02,180,36,20.9,85,0,1,34.3,Upright,Stationary,Blue,0,
8/12/2013 07:29:46.453,229,01312035 EQ-02,135.8,23,21.7,82,0,1,34.4,Upright,MovingSlowly,Blue,0,
8/12/2013 07:30:01.453,244,01312035 EQ-02,163.2,27,20.3,81,0,1,34.5,Upright,MovingSlowly,Blue,0,
8/12/2013 07:30:16.453,259,01312035 EQ-02,196,36,19.6,81,0,1,34.5,Upright,MovingSlowly,Blue,0,
8/12/2013 07:30:31.453,274,01312035 EQ-02,208,35,20.7,85,0,1,34.2,Upright,Stationary,Blue,0,
8/12/2013 07:30:46.453,289,01312035 EQ-02,218,28,20.5,90,0,1,34.5,Upright,MovingFast,Blue,0,
8/12/2013 07:31:01.453,304,01312035 EQ-02,192,34,21.5,85,0,1,34.4,Upright,MovingSlowly,Blue,0,
8/12/2013 07:31:16.453,319,01312035 EQ-02,157.4,30,22,85,0,1,34.5,Upright,MovingSlowly,Blue,0,
8/12/2013 07:31:31.453,334,01312035 EQ-02,162,38,22.8,86,0,1,34.6,Upright,MovingSlowly,Blue,0,
8/12/2013 07:31:46.453,349,01312035 EQ-02,178,37,22.6,86,0,1,34.5,Upright,Stationary,Blue,0,
8/12/2013 07:32:01.453,364,01312035 EQ-02,133.8,45,22.2,88,0,1,34.7,Upright,Stationary,Blue,0,
8/12/2013 07:32:16.453,379,01312035 EQ-02,94.5,29,20.4,86,0,1,34.8,Upright,Stationary,Blue,0,
8/12/2013 07:32:31.453,394,01312035 EQ-02,100,39,16.6,85,0,1,34.8,Upright,Stationary,Blue,0,
8/12/2013 07:32:46.453,409,01312035 EQ-02,110,40,15.2,84,0,1,34.9,Upright,Stationary,Blue,0,
8/12/2013 07:33:01.453,424,01312035 EQ-02,102.4,47,13.5,90,0,1,34.9,Upright,Stationary,Blue,0,
8/12/2013 07:33:16.453,439,01312035 EQ-02,93,33,13.2,90,0,1,34.8,Upright,Stationary,Blue,0,
8/12/2013 07:33:31.453,454,01312035 EQ-02,79.9,41,14,90,0,1,34.9,Upright,Stationary,Blue,0,
8/12/2013 07:33:46.453,469,01312035 EQ-02,78,49,14,90,0,1,34.9,Upright,Stationary,Blue,0,
8/12/2013 07:34:01.453,484,01312035 EQ-02,92,61,14.7,90,0,1,34.9,Upright,Stationary,Blue,0,
8/12/2013 07:34:16.453,499,01312035 EQ-02,83.4,40,14.2,90,0,1,34.9,Upright,Stationary,Blue,0,
8/12/2013 07:34:31.453,514,01312035 EQ-02,73.7,53,15.3,90,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:34:46.453,529,01312035 EQ-02,75.3,49,13.5,90,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:35:01.453,544,01312035 EQ-02,79,48,13.4,83,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:35:16.453,559,01312035 EQ-02,87.8,46,12.7,83,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:35:31.453,574,01312035 EQ-02,115.9,45,13.5,82,0,1,35,Upright,MovingSlowly,Blue,0,
8/12/2013 07:35:46.453,589,01312035 EQ-02,154,48,15.3,82,0,1,34.5,Upright,Stationary,Blue,0,
8/12/2013 07:36:01.453,604,01312035 EQ-02,160,46,18.6,90,0,1,34.9,Upright,MovingSlowly,Blue,0,
8/12/2013 07:36:16.453,619,01312035 EQ-02,162,28,20.9,90,0,1,34.7,Upright,MovingSlowly,Blue,0,
8/12/2013 07:36:31.453,634,01312035 EQ-02,169.2,30,22.6,85,0,1,35,Upright,MovingSlowly,Blue,0,
8/12/2013 07:36:46.453,649,01312035 EQ-02,158,38,23.2,86,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:37:01.453,664,01312035 EQ-02,137.7,37,21,86,0,1,35,Upright,MovingSlowly,Blue,0,
8/12/2013 07:37:16.453,679,01312035 EQ-02,97.2,30,20,76,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:37:31.453,694,01312035 EQ-02,105,40,18.2,65,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:37:46.453,709,01312035 EQ-02,114,44,18.5,64,0,1,34.7,Upright,Stationary,Blue,0,
8/12/2013 07:38:01.453,724,01312035 EQ-02,110,31,18.4,65,0,1,34.4,Upright,Stationary,Blue,0,
8/12/2013 07:38:16.453,739,01312035 EQ-02,134,45,21,70,0,1,34.7,Upright,MovingSlowly,Blue,0,
8/12/2013 07:38:31.453,754,01312035 EQ-02,142.9,50,20.9,81,0,1,34.7,Upright,Stationary,Blue,0,
8/12/2013 07:38:46.453,769,01312035 EQ-02,106.5,25,18.8,85,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:39:01.453,784,01312035 EQ-02,105.5,54,17.2,72,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:39:16.453,799,01312035 EQ-02,130,52,15.9,80,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:39:31.453,814,01312035 EQ-02,112,39,15.6,90,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:39:46.453,829,01312035 EQ-02,82,40,17,83,0,1,35,Upright,Stationary,Blue,0,
8/12/2013 07:40:01.453,844,01312035 EQ-02,87.8,74,15.3,85,0,1,35.1,Upright,Stationary,Blue,0,
8/12/2013 07:40:16.453,859,01312035 EQ-02,98.8,42,15.9,90,0,1,35.1,Upright,Stationary,Blue,0,
8/12/2013 07:40:31.453,874,01312035 EQ-02,104.8,58,15,90,0,1,35.1,Upright,Stationary,Blue,0,
8/12/2013 07:40:46.453,889,01312035 EQ-02,99.8,45,12.6,88,0,1,35.1,Upright,Stationary,Blue,0,
8/12/2013 07:41:01.453,904,01312035 EQ-02,79.8,44,15.1,90,0,1,35.1,Upright,Stationary,Blue,0,
8/12/2013 07:41:16.453,919,01312035 EQ-02,97.9,48,15.2,90,0,1,35.1,Upright,Stationary,Blue,0,
8/12/2013 07:41:31.453,934,01312035 EQ-02,92.2,47,14.4,90,0,1,35.1,Upright,Stationary,Blue,0,
8/12/2013 07:41:46.453,949,01312035 EQ-02,69.5,41,15.5,88,0,1,35.1,Upright,Stationary,Blue,0,
